Data;Cidade;UF;Vendedor;Salario;Veículo;Preço
06/jan/20;Americana;SP;Elian Belli;1800;Ka;46863
06/jan/20;Americana;SP;Elian Belli;1800;EcoSport;33250
06/jan/20;Americana;SP;Elian Belli;1800;EcoSport;41291
06/jan/20;Americana;SP;Elian Belli;1800;Logan;28386
06/jan/20;Americana;SP;Elian Belli;1800;Pálio;50285
06/jan/20;Americana;SP;Elian Belli;1800;EcoSport;19305
06/jan/20;Americana;SP;Elian Belli;1800;EcoSport;15410
06/jan/20;Americana;SP;Elian Belli;1800;Pálio;55474
06/jan/20;Americana;SP;Elian Belli;1800;Polo;42202
06/jan/20;Americana;SP;Elian Belli;1800;Pálio;15557
06/jan/20;Americana;SP;Elian Belli;1800;Pálio;43022
25/jan/20;Americana;SP;Elian Belli;1800;Pálio;42765
25/jan/20;Americana;SP;Elian Belli;1800;Fiesta;10912
25/jan/20;Americana;SP;Elian Belli;1800;Logan;10572
25/jan/20;Americana;SP;Elian Belli;1800;Civic;15395
09/jan/20;Americana;SP;Elian Belli;1800;Logan;21399
09/jan/20;Americana;SP;Elian Belli;1800;Corola;10979
09/jan/20;Americana;SP;Elian Belli;1800;Corola;41842
09/jan/20;Americana;SP;Elian Belli;1800;Logan;18311
18/jan/20;Americana;SP;Elian Belli;1800;EcoSport;20572
14/jan/20;Americana;SP;Elian Belli;1800;Uno;40375
14/jan/20;Americana;SP;Elian Belli;1800;Polo;57665
20/jan/20;Americana;SP;Elian Belli;1800;Fiesta;10781
20/jan/20;Americana;SP;Elian Belli;1800;Ka;21900
20/jan/20;Americana;SP;Elian Belli;1800;Civic;29383
20/jan/20;Americana;SP;Elian Belli;1800;Gol;49164
20/jan/20;Americana;SP;Elian Belli;1800;Civic;58818
20/jan/20;Americana;SP;Elian Belli;1800;Gol;29778
20/jan/20;Americana;SP;Elian Belli;1800;Ka;34326
20/jan/20;Americana;SP;Elian Belli;1800;Pálio;22904
20/jan/20;Americana;SP;Elian Belli;1800;EcoSport;24974
20/jan/20;Americana;SP;Elian Belli;1800;Logan;37997
11/jan/20;Americana;SP;Elian Belli;1800;Pálio;56084
11/jan/20;Americana;SP;Elian Belli;1800;Gol;37547
11/jan/20;Americana;SP;Elian Belli;1800;Polo;29029
11/jan/20;Americana;SP;Elian Belli;1800;Uno;30282
11/jan/20;Americana;SP;Elian Belli;1800;Corola;25298
11/jan/20;Americana;SP;Elian Belli;1800;Uno;15489
27/jan/20;Americana;SP;Elian Belli;1800;Logan;24723
27/jan/20;Americana;SP;Elian Belli;1800;EcoSport;45786
27/jan/20;Americana;SP;Elian Belli;1800;Uno;12275
27/jan/20;Americana;SP;Elian Belli;1800;EcoSport;56889
18/jan/20;Americana;SP;Elian Belli;1800;Polo;56379
18/jan/20;Americana;SP;Elian Belli;1800;Logan;51574
18/jan/20;Americana;SP;Elian Belli;1800;Cruze;18499
18/jan/20;Americana;SP;Elian Belli;1800;Polo;41386
18/jan/20;Americana;SP;Elian Belli;1800;EcoSport;19105
18/jan/20;Americana;SP;Elian Belli;1800;Uno;29535
18/jan/20;Americana;SP;Elian Belli;1800;Fiesta;48475
07/jan/20;Americana;SP;Elian Belli;1800;Civic;50275
07/jan/20;Americana;SP;Elian Belli;1800;EcoSport;40163
07/jan/20;Americana;SP;Elian Belli;1800;Polo;50210
07/jan/20;Americana;SP;Elian Belli;1800;Polo;29034
20/jan/20;Americana;SP;Elian Belli;1800;EcoSport;52243
20/jan/20;Americana;SP;Elian Belli;1800;Civic;47390
21/jan/20;Americana;SP;Elian Belli;1800;Cruze;37176
21/jan/20;Americana;SP;Elian Belli;1800;Civic;41932
21/jan/20;Americana;SP;Elian Belli;1800;Cruze;58198
21/jan/20;Americana;SP;Elian Belli;1800;Pálio;54081
21/jan/20;Americana;SP;Elian Belli;1800;Corola;49762
21/jan/20;Americana;SP;Elian Belli;1800;Cruze;42985
09/jan/20;Americana;SP;Elian Belli;1800;EcoSport;51685
09/jan/20;Americana;SP;Elian Belli;1800;Fiesta;46209
18/jan/20;Americana;SP;Elian Belli;1800;Polo;36078
18/jan/20;Americana;SP;Elian Belli;1800;Ka;21191
18/jan/20;Americana;SP;Elian Belli;1800;Polo;40488
18/jan/20;Americana;SP;Elian Belli;1800;Fiesta;21677
18/jan/20;Americana;SP;Elian Belli;1800;Ka;27759
18/jan/20;Americana;SP;Elian Belli;1800;Ka;57595
18/jan/20;Americana;SP;Elian Belli;1800;Logan;10610
18/jan/20;Americana;SP;Elian Belli;1800;EcoSport;59955
18/jan/20;Americana;SP;Elian Belli;1800;Gol;22883
18/jan/20;Americana;SP;Elian Belli;1800;Ka;34165
01/jan/20;Americana;SP;Elian Belli;1800;Logan;57196
01/jan/20;Americana;SP;Elian Belli;1800;Pálio;20290
01/jan/20;Americana;SP;Elian Belli;1800;Logan;35480
01/jan/20;Americana;SP;Elian Belli;1800;Ka;16068
01/jan/20;Americana;SP;Elian Belli;1800;Polo;28080
01/jan/20;Americana;SP;Elian Belli;1800;Uno;20037
01/jan/20;Americana;SP;Elian Belli;1800;Ka;38882
01/jan/20;Americana;SP;Elian Belli;1800;Cruze;19592
25/fev/20;Americana;SP;Elian Belli;1800;Logan;24379
25/fev/20;Americana;SP;Elian Belli;1800;Corola;42893
25/fev/20;Americana;SP;Elian Belli;1800;Corola;11523
25/fev/20;Americana;SP;Elian Belli;1800;Cruze;12614
25/fev/20;Americana;SP;Elian Belli;1800;Logan;52808
25/fev/20;Americana;SP;Elian Belli;1800;Polo;33090
25/fev/20;Americana;SP;Elian Belli;1800;Pálio;21596
25/fev/20;Americana;SP;Elian Belli;1800;EcoSport;49043
26/fev/20;Americana;SP;Elian Belli;1800;EcoSport;53250
26/fev/20;Americana;SP;Elian Belli;1800;Corola;11662
26/fev/20;Americana;SP;Elian Belli;1800;Fiesta;29460
26/fev/20;Americana;SP;Elian Belli;1800;Pálio;20003
26/fev/20;Americana;SP;Elian Belli;1800;Cruze;42857
26/fev/20;Americana;SP;Elian Belli;1800;Corola;40516
26/fev/20;Americana;SP;Elian Belli;1800;EcoSport;49356
26/fev/20;Americana;SP;Elian Belli;1800;Ka;56698
18/fev/20;Americana;SP;Elian Belli;1800;Polo;36091
18/fev/20;Americana;SP;Elian Belli;1800;Ka;32427
18/fev/20;Americana;SP;Elian Belli;1800;EcoSport;27508
27/fev/20;Americana;SP;Elian Belli;1800;Pálio;18147
27/fev/20;Americana;SP;Elian Belli;1800;Ka;23135
27/fev/20;Americana;SP;Elian Belli;1800;Gol;43824
27/fev/20;Americana;SP;Elian Belli;1800;Fiesta;28072
27/fev/20;Americana;SP;Elian Belli;1800;Corola;32077
27/fev/20;Americana;SP;Elian Belli;1800;Polo;33887
27/fev/20;Americana;SP;Elian Belli;1800;Pálio;24187
27/fev/20;Americana;SP;Elian Belli;1800;EcoSport;47645
15/fev/20;Americana;SP;Elian Belli;1800;Uno;16052
15/fev/20;Americana;SP;Elian Belli;1800;Uno;57624
15/fev/20;Americana;SP;Elian Belli;1800;Polo;42133
15/fev/20;Americana;SP;Elian Belli;1800;Uno;26140
15/fev/20;Americana;SP;Elian Belli;1800;Fiesta;48232
15/fev/20;Americana;SP;Elian Belli;1800;Ka;43205
15/fev/20;Americana;SP;Elian Belli;1800;Corola;21639
26/fev/20;Americana;SP;Elian Belli;1800;Civic;19219
26/fev/20;Americana;SP;Elian Belli;1800;Pálio;42125
26/fev/20;Americana;SP;Elian Belli;1800;Ka;27829
26/fev/20;Americana;SP;Elian Belli;1800;Uno;10709
26/fev/20;Americana;SP;Elian Belli;1800;Ka;42608
26/fev/20;Americana;SP;Elian Belli;1800;Fiesta;20477
26/fev/20;Americana;SP;Elian Belli;1800;EcoSport;46380
26/fev/20;Americana;SP;Elian Belli;1800;Cruze;11877
26/fev/20;Americana;SP;Elian Belli;1800;Cruze;42792
24/fev/20;Americana;SP;Elian Belli;1800;Fiesta;52961
16/fev/20;Americana;SP;Elian Belli;1800;EcoSport;41096
16/fev/20;Americana;SP;Elian Belli;1800;Cruze;28155
16/fev/20;Americana;SP;Elian Belli;1800;Corola;38694
16/fev/20;Americana;SP;Elian Belli;1800;Logan;22512
16/fev/20;Americana;SP;Elian Belli;1800;Logan;31244
16/fev/20;Americana;SP;Elian Belli;1800;Gol;37086
16/fev/20;Americana;SP;Elian Belli;1800;Civic;50198
16/fev/20;Americana;SP;Elian Belli;1800;Logan;14686
16/fev/20;Americana;SP;Elian Belli;1800;Polo;55218
16/fev/20;Americana;SP;Elian Belli;1800;EcoSport;43082
16/fev/20;Americana;SP;Elian Belli;1800;Logan;21644
17/fev/20;Americana;SP;Elian Belli;1800;EcoSport;41771
17/fev/20;Americana;SP;Elian Belli;1800;Fiesta;29196
17/fev/20;Americana;SP;Elian Belli;1800;Fiesta;39044
17/fev/20;Americana;SP;Elian Belli;1800;Civic;48936
17/fev/20;Americana;SP;Elian Belli;1800;Pálio;36912
17/fev/20;Americana;SP;Elian Belli;1800;Fiesta;46469
17/fev/20;Americana;SP;Elian Belli;1800;Cruze;11757
12/fev/20;Americana;SP;Elian Belli;1800;Logan;56329
26/fev/20;Americana;SP;Elian Belli;1800;Uno;57478
26/fev/20;Americana;SP;Elian Belli;1800;Civic;33690
26/fev/20;Americana;SP;Elian Belli;1800;EcoSport;20820
26/fev/20;Americana;SP;Elian Belli;1800;Uno;39872
26/fev/20;Americana;SP;Elian Belli;1800;Cruze;25776
26/fev/20;Americana;SP;Elian Belli;1800;Civic;34591
26/fev/20;Americana;SP;Elian Belli;1800;Corola;20241
26/fev/20;Americana;SP;Elian Belli;1800;Fiesta;30028
26/fev/20;Americana;SP;Elian Belli;1800;Fiesta;42151
26/fev/20;Americana;SP;Elian Belli;1800;Civic;47447
26/fev/20;Americana;SP;Elian Belli;1800;Logan;11153
05/fev/20;Americana;SP;Elian Belli;1800;Corola;48890
05/fev/20;Americana;SP;Elian Belli;1800;Pálio;46988
