CPF;ID_Linha;data
400.825.752-74;Linha1;21/08/2022
342.168.515-09;Linha2;21/08/2022
482.142.372-38;Linha3;21/08/2022
050.663.437-09;Linha4;21/08/2022
052.102.852-35;Linha5;21/08/2022
400.825.752-74;Linha1;16/08/2022
342.168.515-09;Linha4;16/08/2022
482.142.372-38;Linha3;16/08/2022
050.663.437-09;Linha2;16/08/2022
052.102.852-35;Linha5;16/08/2022
400.825.752-74;Linha3;17/08/2022
342.168.515-09;Linha2;17/08/2022
482.142.372-38;Linha1;17/08/2022
050.663.437-09;Linha4;17/08/2022
052.102.852-35;Linha5;17/08/2022
